INFO  22:22:36,762 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,763 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,763 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:22:36,769 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:23:29,906 | james.mailetcontainer | JamesSpoolManager dispose...
INFO  22:56:55,272 | james.mailetcontainer | Matcher All instantiated.
INFO  22:56:55,277 | james.mailetcontainer | Mailet PostmasterAlias instantiated.
INFO  22:56:55,288 | james.mailetcontainer | Matcher RelayLimit=30 instantiated.
INFO  22:56:55,291 | james.mailetcontainer | Mailet Null instantiated.
INFO  22:56:55,296 | james.mailetcontainer | Matcher SMTPAuthSuccessful instantiated.
INFO  22:56:55,300 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:56:55,304 | james.mailetcontainer | Matcher InSpammerBlacklist=dnsbl.njabl.org. instantiated.
INFO  22:56:55,305 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:56:55,308 | james.mailetcontainer | Matcher All instantiated.
INFO  22:56:55,309 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:56:55,312 | james.mailetcontainer | Matcher SMTPAuthSuccessful instantiated.
INFO  22:56:55,315 | james.mailetcontainer | Mailet SetMimeHeader instantiated.
INFO  22:56:55,317 | james.mailetcontainer | Matcher All instantiated.
INFO  22:56:55,326 | james.mailetcontainer | Mailet VirtualUserTable instantiated.
INFO  22:56:55,331 | james.mailetcontainer | Matcher RecipientIsLocal instantiated.
INFO  22:56:55,354 | james.mailetcontainer | Mailet LocalDelivery instantiated.
INFO  22:56:55,360 | james.mailetcontainer | Matcher HostIsLocal instantiated.
INFO  22:56:55,361 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:56:55,362 | james.mailetcontainer | Matcher All instantiated.
INFO  22:56:55,394 | james.mailetcontainer | Mailet RemoteDelivery instantiated.
INFO  22:56:55,399 | james.mailetcontainer | Matcher All instantiated.
INFO  22:56:55,479 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:56:55,481 | james.mailetcontainer | Matcher All instantiated.
INFO  22:56:55,489 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:56:55,490 | james.mailetcontainer | Matcher All instantiated.
INFO  22:56:55,502 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:56:55,505 | james.mailetcontainer | Matcher All instantiated.
INFO  22:56:55,514 | james.mailetcontainer | Mailet ToRepository instantiated.
INFO  22:56:55,516 | james.mailetcontainer | Matcher All instantiated.
INFO  22:56:55,532 | james.mailetcontainer | Mailet DSNBounce instantiated.
INFO  22:56:56,123 | james.mailetcontainer | JamesSpoolManager init...
INFO  22:56:56,124 | james.mailetcontainer | Spooler Manager uses 20 Thread(s)
INFO  22:56:56,126 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #1
INFO  22:56:56,126 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #0
INFO  22:56:56,127 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,129 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,129 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #3
INFO  22:56:56,129 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #4
INFO  22:56:56,129 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #5
INFO  22:56:56,129 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #2
INFO  22:56:56,130 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,132 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #18
INFO  22:56:56,132 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #16
INFO  22:56:56,132 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #19
INFO  22:56:56,132 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #17
INFO  22:56:56,132 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #13
INFO  22:56:56,132 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #11
INFO  22:56:56,132 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #9
INFO  22:56:56,132 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #8
INFO  22:56:56,133 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #6
INFO  22:56:56,132 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #15
INFO  22:56:56,132 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #7
INFO  22:56:56,132 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #10
INFO  22:56:56,137 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,132 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #12
INFO  22:56:56,132 | james.mailetcontainer | Run JamesSpoolManager: Spool Thread #14
INFO  22:56:56,138 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,139 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,141 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,143 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,145 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,149 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,149 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,150 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,151 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,152 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,153 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,154 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,154 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,155 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,155 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:56:56,156 | james.mailetcontainer | Spool=org.apache.james.queue.activemq.ActiveMQMailQueue
INFO  22:58:07,360 | james.mailetcontainer | Matcher All instantiated.
INFO  22:58:07,377 | james.mailetcontainer | Mailet PostmasterAlias instantiated.
INFO  22:58:07,402 | james.mailetcontainer | Matcher RelayLimit=30 instantiated.
INFO  22:58:07,415 | james.mailetcontainer | Mailet Null instantiated.
INFO  22:58:07,430 | james.mailetcontainer | Matcher SMTPAuthSuccessful instantiated.
INFO  22:58:07,438 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:58:07,453 | james.mailetcontainer | Matcher InSpammerBlacklist=dnsbl.njabl.org. instantiated.
INFO  22:58:07,461 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:58:07,465 | james.mailetcontainer | Matcher All instantiated.
INFO  22:58:07,472 | james.mailetcontainer | Mailet ToProcessor instantiated.
INFO  22:58:07,493 | james.mailetcontainer | Matcher SMTPAuthSuccessful instantiated.
INFO  22:58:07,503 | james.mailetcontainer | Mailet SetMimeHeader instantiated.
INFO  22:58:07,510 | james.mailetcontainer | Matcher All instantiated.
