INFO  22:22:36,102 | james.mailstore | added repository: file://var/mail/address-error/STREAM->org.apache.james.filepair.FilePersistentStreamRepository
INFO  22:22:36,103 | james.mailstore | added repository: file://var/mail/address-error/MAIL->org.apache.james.mailrepository.file.FileMailRepository
INFO  22:22:36,106 | james.mailstore | Init org.apache.james.filepair.FilePersistentObjectRepository Store
INFO  22:22:36,107 | james.mailstore | org.apache.james.filepair.FilePersistentObjectRepository opened in ..\var\mail\relay-denied
INFO  22:22:36,108 | james.mailstore | added repository: file://var/mail/relay-denied/OBJECT->org.apache.james.filepair.FilePersistentObjectRepository
INFO  22:22:36,108 | james.mailstore | Init org.apache.james.filepair.FilePersistentStreamRepository Store
INFO  22:22:36,108 | james.mailstore | org.apache.james.filepair.FilePersistentStreamRepository opened in ..\var\mail\relay-denied
INFO  22:22:36,109 | james.mailstore | added repository: file://var/mail/relay-denied/STREAM->org.apache.james.filepair.FilePersistentStreamRepository
INFO  22:22:36,110 | james.mailstore | added repository: file://var/mail/relay-denied/MAIL->org.apache.james.mailrepository.file.FileMailRepository
INFO  22:56:55,431 | james.mailstore | JamesMailStore init...
INFO  22:56:55,439 | james.mailstore | Registering Repository instance of class org.apache.james.mailrepository.file.FileMailRepository to handle file protocol requests for repositories of type MAIL with key fileMAIL
INFO  22:56:55,440 | james.mailstore | Registering Repository instance of class org.apache.james.mailrepository.jdbc.JDBCMailRepository to handle db protocol requests for repositories of type MAIL with key dbMAIL
INFO  22:56:55,441 | james.mailstore | Registering Repository instance of class org.apache.james.mailrepository.jdbc.JDBCMailRepository to handle dbfile protocol requests for repositories of type MAIL with key dbfileMAIL
INFO  22:56:55,441 | james.mailstore | Registering Repository instance of class org.apache.james.mailrepository.file.MBoxMailRepository to handle mbox protocol requests for repositories of type MAIL with key mboxMAIL
INFO  22:56:55,443 | james.mailstore | Registering Repository instance of class org.apache.james.filepair.FilePersistentObjectRepository to handle file protocol requests for repositories of type OBJECT with key fileOBJECT
INFO  22:56:55,444 | james.mailstore | Registering Repository instance of class org.apache.james.filepair.FilePersistentStreamRepository to handle file protocol requests for repositories of type STREAM with key fileSTREAM
INFO  22:56:55,465 | james.mailstore | Init org.apache.james.filepair.FilePersistentObjectRepository Store
INFO  22:56:55,468 | james.mailstore | org.apache.james.filepair.FilePersistentObjectRepository opened in ..\var\mail\error
INFO  22:56:55,470 | james.mailstore | added repository: file://var/mail/error/OBJECT->org.apache.james.filepair.FilePersistentObjectRepository
INFO  22:56:55,474 | james.mailstore | Init org.apache.james.filepair.FilePersistentStreamRepository Store
INFO  22:56:55,476 | james.mailstore | org.apache.james.filepair.FilePersistentStreamRepository opened in ..\var\mail\error
INFO  22:56:55,478 | james.mailstore | added repository: file://var/mail/error/STREAM->org.apache.james.filepair.FilePersistentStreamRepository
INFO  22:56:55,479 | james.mailstore | added repository: file://var/mail/error/MAIL->org.apache.james.mailrepository.file.FileMailRepository
INFO  22:56:55,483 | james.mailstore | Init org.apache.james.filepair.FilePersistentObjectRepository Store
INFO  22:56:55,484 | james.mailstore | org.apache.james.filepair.FilePersistentObjectRepository opened in ..\var\mail\spam
INFO  22:56:55,484 | james.mailstore | added repository: file://var/mail/spam/OBJECT->org.apache.james.filepair.FilePersistentObjectRepository
INFO  22:56:55,485 | james.mailstore | Init org.apache.james.filepair.FilePersistentStreamRepository Store
INFO  22:56:55,486 | james.mailstore | org.apache.james.filepair.FilePersistentStreamRepository opened in ..\var\mail\spam
INFO  22:56:55,486 | james.mailstore | added repository: file://var/mail/spam/STREAM->org.apache.james.filepair.FilePersistentStreamRepository
INFO  22:56:55,487 | james.mailstore | added repository: file://var/mail/spam/MAIL->org.apache.james.mailrepository.file.FileMailRepository
INFO  22:56:55,493 | james.mailstore | Init org.apache.james.filepair.FilePersistentObjectRepository Store
INFO  22:56:55,494 | james.mailstore | org.apache.james.filepair.FilePersistentObjectRepository opened in ..\var\mail\address-error
INFO  22:56:55,495 | james.mailstore | added repository: file://var/mail/address-error/OBJECT->org.apache.james.filepair.FilePersistentObjectRepository
INFO  22:56:55,496 | james.mailstore | Init org.apache.james.filepair.FilePersistentStreamRepository Store
INFO  22:56:55,496 | james.mailstore | org.apache.james.filepair.FilePersistentStreamRepository opened in ..\var\mail\address-error
INFO  22:56:55,497 | james.mailstore | added repository: file://var/mail/address-error/STREAM->org.apache.james.filepair.FilePersistentStreamRepository
INFO  22:56:55,498 | james.mailstore | added repository: file://var/mail/address-error/MAIL->org.apache.james.mailrepository.file.FileMailRepository
INFO  22:56:55,506 | james.mailstore | Init org.apache.james.filepair.FilePersistentObjectRepository Store
INFO  22:56:55,507 | james.mailstore | org.apache.james.filepair.FilePersistentObjectRepository opened in ..\var\mail\relay-denied
INFO  22:56:55,509 | james.mailstore | added repository: file://var/mail/relay-denied/OBJECT->org.apache.james.filepair.FilePersistentObjectRepository
INFO  22:56:55,512 | james.mailstore | Init org.apache.james.filepair.FilePersistentStreamRepository Store
INFO  22:56:55,512 | james.mailstore | org.apache.james.filepair.FilePersistentStreamRepository opened in ..\var\mail\relay-denied
INFO  22:56:55,513 | james.mailstore | added repository: file://var/mail/relay-denied/STREAM->org.apache.james.filepair.FilePersistentStreamRepository
INFO  22:56:55,514 | james.mailstore | added repository: file://var/mail/relay-denied/MAIL->org.apache.james.mailrepository.file.FileMailRepository
INFO  22:58:07,669 | james.mailstore | JamesMailStore init...
